STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
COVHIC001-CHALLENGE,TS,1,,ACTSUB,Actual Number of Subjects,90,,,,
COVHIC001-CHALLENGE,TS,1,,ADAPT,Adaptive Design,N,,C49487,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,ADDON,Added on to Existing Treatments,N,,C49487,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,AGEMAX,Planned Maximum Age of Subjects,P30Y,,,,
COVHIC001-CHALLENGE,TS,1,,AGEMIN,Planned Minimum Age of Subjects,P18Y,,,,
COVHIC001-CHALLENGE,TS,1,,DCUTDESC,Data Cutoff Description,Final database lock,,,,
COVHIC001-CHALLENGE,TS,1,,DCUTDTC,Data Cutoff Date,2025-03-22,,,,
COVHIC001-CHALLENGE,TS,1,,EXTTIND,Extension Trial Indicator,N,,C49487,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,FCNTRY,Planned Country of Investigational Sites,USA,,,GENC,Ed3 Up11
COVHIC001-CHALLENGE,TS,1,,HLTSUBJI,Healthy Subject Indicator,N,,C49487,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,INDIC,Trial Disease/Condition Indication,SARS-CoV-2 Human Challenge (Dose Finding),,,SNOMED,2023-09-01
COVHIC001-CHALLENGE,TS,1,,INTMODEL,Intervention Model,SINGLE GROUP,,C82640,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,INTTYPE,Intervention Type,DRUG,,C1909,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,LENGTH,Trial Length,P13M,,,,
COVHIC001-CHALLENGE,TS,1,,NARMS,Planned Number of Arms,3,,,,
COVHIC001-CHALLENGE,TS,1,,NCOHORT,Number of Groups/Cohorts,3,,,,
COVHIC001-CHALLENGE,TS,1,,OBJPRIM,Trial Primary Objective,To evaluate the efficacy and safety of the investigational treatment,,,,
COVHIC001-CHALLENGE,TS,1,,OBJSEC,Trial Secondary Objective,To evaluate pharmacokinetics and immunogenicity,,,,
COVHIC001-CHALLENGE,TS,1,,ONGOSIND,Ongoing Study Indicator,N,,C49487,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,OUTMSPRI,Primary Outcome Measure,Change from baseline in primary endpoint,,,,
COVHIC001-CHALLENGE,TS,1,,PCLAS,Pharmacologic Class,MONOCLONAL ANTIBODY,,,MED-RT,2023-09-01
COVHIC001-CHALLENGE,TS,1,,PDPSTIND,Pediatric Postmarket Study Indicator,N,,C49487,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,PDSTIND,Pediatric Study Indicator,N,,C49487,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,PIPIND,Pediatric Investigation Plan Indicator,N,,C49487,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,PLANSUB,Planned Number of Subjects,90,,,,
COVHIC001-CHALLENGE,TS,1,,RANDOM,Trial is Randomized,N,,C49487,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,RDIND,Rare Disease Indicator,N,,C49487,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,REGID,Registry Identifier,NCT04865237,,,,
COVHIC001-CHALLENGE,TS,1,,SDTIGVER,SDTM IG Version,3.4,,,,
COVHIC001-CHALLENGE,TS,1,,SDTMVER,SDTM Version,2.0,,,,
COVHIC001-CHALLENGE,TS,1,,SENDTC,Study End Date,2025-04-21,,,,
COVHIC001-CHALLENGE,TS,1,,SEXPOP,Sex of Participants,BOTH,,C49636,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,SPONSOR,Clinical Study Sponsor,Imperial College London,,,,
COVHIC001-CHALLENGE,TS,1,,SSTDTC,Study Start Date,2024-01-15,,,,
COVHIC001-CHALLENGE,TS,1,,STOPRULE,Study Stop Rules,Study may be stopped for safety concerns per DMC recommendation,,,,
COVHIC001-CHALLENGE,TS,1,,STYPE,Study Type,INTERVENTIONAL,,C98388,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,TBLIND,Trial Blinding Schema,OPEN LABEL,,C49659,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,TCNTRL,Control Type,UNCONTROLLED,,,,
COVHIC001-CHALLENGE,TS,1,,TDIGRP,Diagnosis Group,Infectious Disease,,,SNOMED,2023-09-01
COVHIC001-CHALLENGE,TS,1,,THERAREA,Therapeutic Area,Infectious Disease,,,,
COVHIC001-CHALLENGE,TS,1,,TINDTP,Trial Intent Type,TREATMENT,,C49656,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,TITLE,Trial Title,A dose finding human experimental infection study in healthy subjects using a GMP-produced SARS-CoV-2 wild type strain (SARS-CoV-2 Characterisation Study),,,,
COVHIC001-CHALLENGE,TS,1,,TPHASE,Trial Phase Classification,PHASE I TRIAL,,C15600,CDISC CT,2023-12-15
COVHIC001-CHALLENGE,TS,1,,TRT,Investigational Therapy or Treatment,REMDESIVIR,,,UNII,2023-12-15
COVHIC001-CHALLENGE,TS,2,,TRT,Investigational Therapy or Treatment,SARS-COV-2-CHALLENGE,,,UNII,2023-12-15
COVHIC001-CHALLENGE,TS,1,,TTYPE,Trial Type,EFFICACY,,C49666,CDISC CT,2023-12-15
