rule_id,injected,overwritten,failed_self_validation,total,failure_reason
SD1004,6,0,0,6,
SD1033,6,0,0,6,
SD1034,6,0,0,6,
SD0071,2,0,0,2,
SD0084,2,0,0,2,
SD1121,2,0,0,2,
SD1133,2,0,0,2,
SD1134,2,0,0,2,
SD1322,2,0,0,2,
SD1360,2,0,0,2,
SD1361,2,0,0,2,
SD1363,2,0,0,2,
SD1364,2,0,0,2,
SD1374,2,0,0,2,
SD2001,2,0,0,2,
SD2002,2,0,0,2,
SD2003,2,0,0,2,
SD2022,2,0,0,2,
SD2023,2,0,0,2,
SD0066,1,0,0,1,
SD0070,1,0,0,1,
SD0079,1,0,0,1,
SD1240,1,0,0,1,
SD1340,1,0,0,1,
SD1358,1,0,0,1,
SD1359,1,0,0,1,
SD1377,1,0,0,1,
SD2021,1,0,0,1,
SD2237,1,0,0,1,
