STUDYID,DOMAIN,VISITNUM,VISIT,VISITDY,ARMCD,ARM,TVSTRL,TVENRL
GB001-2001,TV,1.0,SCREENING,-42,GB001_20,GB001 20 mg QD,Study Day -42,End of SCREENING
GB001-2001,TV,2.0,RUN-IN START,-28,GB001_20,GB001 20 mg QD,Study Day -28,End of RUN-IN START
GB001-2001,TV,3.0,RANDOMIZATION,1,GB001_20,GB001 20 mg QD,Study Day 1,End of RANDOMIZATION
GB001-2001,TV,4.0,WEEK 2,15,GB001_20,GB001 20 mg QD,Study Day 15,End of WEEK 2
GB001-2001,TV,5.0,WEEK 4,29,GB001_20,GB001 20 mg QD,Study Day 29,End of WEEK 4
GB001-2001,TV,6.0,WEEK 8,57,GB001_20,GB001 20 mg QD,Study Day 57,End of WEEK 8
GB001-2001,TV,7.0,WEEK 12,85,GB001_20,GB001 20 mg QD,Study Day 85,End of WEEK 12
GB001-2001,TV,8.0,WEEK 16,113,GB001_20,GB001 20 mg QD,Study Day 113,End of WEEK 16
GB001-2001,TV,9.0,WEEK 20,141,GB001_20,GB001 20 mg QD,Study Day 141,End of WEEK 20
GB001-2001,TV,10.0,WEEK 24 EOT,169,GB001_20,GB001 20 mg QD,Study Day 169,End of WEEK 24 EOT
GB001-2001,TV,11.0,WEEK 28 SAFETY FU,197,GB001_20,GB001 20 mg QD,Study Day 197,End of WEEK 28 SAFETY FU
GB001-2001,TV,1.0,SCREENING,-42,GB001_40,GB001 40 mg QD,Study Day -42,End of SCREENING
GB001-2001,TV,2.0,RUN-IN START,-28,GB001_40,GB001 40 mg QD,Study Day -28,End of RUN-IN START
GB001-2001,TV,3.0,RANDOMIZATION,1,GB001_40,GB001 40 mg QD,Study Day 1,End of RANDOMIZATION
GB001-2001,TV,4.0,WEEK 2,15,GB001_40,GB001 40 mg QD,Study Day 15,End of WEEK 2
GB001-2001,TV,5.0,WEEK 4,29,GB001_40,GB001 40 mg QD,Study Day 29,End of WEEK 4
GB001-2001,TV,6.0,WEEK 8,57,GB001_40,GB001 40 mg QD,Study Day 57,End of WEEK 8
GB001-2001,TV,7.0,WEEK 12,85,GB001_40,GB001 40 mg QD,Study Day 85,End of WEEK 12
GB001-2001,TV,8.0,WEEK 16,113,GB001_40,GB001 40 mg QD,Study Day 113,End of WEEK 16
GB001-2001,TV,9.0,WEEK 20,141,GB001_40,GB001 40 mg QD,Study Day 141,End of WEEK 20
GB001-2001,TV,10.0,WEEK 24 EOT,169,GB001_40,GB001 40 mg QD,Study Day 169,End of WEEK 24 EOT
GB001-2001,TV,11.0,WEEK 28 SAFETY FU,197,GB001_40,GB001 40 mg QD,Study Day 197,End of WEEK 28 SAFETY FU
GB001-2001,TV,1.0,SCREENING,-42,GB001_60,GB001 60 mg QD,Study Day -42,End of SCREENING
GB001-2001,TV,2.0,RUN-IN START,-28,GB001_60,GB001 60 mg QD,Study Day -28,End of RUN-IN START
GB001-2001,TV,3.0,RANDOMIZATION,1,GB001_60,GB001 60 mg QD,Study Day 1,End of RANDOMIZATION
GB001-2001,TV,4.0,WEEK 2,15,GB001_60,GB001 60 mg QD,Study Day 15,End of WEEK 2
GB001-2001,TV,5.0,WEEK 4,29,GB001_60,GB001 60 mg QD,Study Day 29,End of WEEK 4
GB001-2001,TV,6.0,WEEK 8,57,GB001_60,GB001 60 mg QD,Study Day 57,End of WEEK 8
GB001-2001,TV,7.0,WEEK 12,85,GB001_60,GB001 60 mg QD,Study Day 85,End of WEEK 12
GB001-2001,TV,8.0,WEEK 16,113,GB001_60,GB001 60 mg QD,Study Day 113,End of WEEK 16
GB001-2001,TV,9.0,WEEK 20,141,GB001_60,GB001 60 mg QD,Study Day 141,End of WEEK 20
GB001-2001,TV,10.0,WEEK 24 EOT,169,GB001_60,GB001 60 mg QD,Study Day 169,End of WEEK 24 EOT
GB001-2001,TV,11.0,WEEK 28 SAFETY FU,197,GB001_60,GB001 60 mg QD,Study Day 197,End of WEEK 28 SAFETY FU
GB001-2001,TV,1.0,SCREENING,-42,PLACEBO,Matching placebo QD,Study Day -42,End of SCREENING
GB001-2001,TV,2.0,RUN-IN START,-28,PLACEBO,Matching placebo QD,Study Day -28,End of RUN-IN START
GB001-2001,TV,3.0,RANDOMIZATION,1,PLACEBO,Matching placebo QD,Study Day 1,End of RANDOMIZATION
GB001-2001,TV,4.0,WEEK 2,15,PLACEBO,Matching placebo QD,Study Day 15,End of WEEK 2
GB001-2001,TV,5.0,WEEK 4,29,PLACEBO,Matching placebo QD,Study Day 29,End of WEEK 4
GB001-2001,TV,6.0,WEEK 8,57,PLACEBO,Matching placebo QD,Study Day 57,End of WEEK 8
GB001-2001,TV,7.0,WEEK 12,85,PLACEBO,Matching placebo QD,Study Day 85,End of WEEK 12
GB001-2001,TV,8.0,WEEK 16,113,PLACEBO,Matching placebo QD,Study Day 113,End of WEEK 16
GB001-2001,TV,9.0,WEEK 20,141,PLACEBO,Matching placebo QD,Study Day 141,End of WEEK 20
GB001-2001,TV,10.0,WEEK 24 EOT,169,PLACEBO,Matching placebo QD,Study Day 169,End of WEEK 24 EOT
GB001-2001,TV,11.0,WEEK 28 SAFETY FU,197,PLACEBO,Matching placebo QD,Study Day 197,End of WEEK 28 SAFETY FU
