STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
MS200095-0022-VISION,INVALID,1,,ACTSUB,Actual Number of Subjects,300,,,,
MS200095-0022-VISION,INVALID,1,,ADAPT,Adaptive Design,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,aaa,1,,ADDON,Added on to Existing Treatments,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,aaa,1,,AGEMAX,Planned Maximum Age of Subjects,P90Y,,,,
MS200095-0022-VISION,TS,1,,AGEMIN,Planned Minimum Age of Subjects,P18Y,,,,
MS200095-0022-VISION,TS,1,,DCUTDESC,Data Cutoff Description,Final database lock,,,,
MS200095-0022-VISION,TS,1,,DCUTDTC,Data Cutoff Date,2025-08-29,,,,
MS200095-0022-VISION,aaa,1,,EXTTIND,Extension Trial Indicator,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,FCNTRY,Planned Country of Investigational Sites,USA,,,GENC,Ed3 Up11
MS200095-0022-VISION,aaa,1,,HLTSUBJI,Healthy Subject Indicator,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,INDIC,Trial Disease/Condition Indication,Advanced NSCLC with MET alterations,,,SNOMED,2023-09-01
MS200095-0022-VISION,INVALID,1,,INTMODEL,Intervention Model,SINGLE GROUP,,C82640,CDISC CT,2023-12-15
MS200095-0022-VISION,aaa,1,,INTTYPE,Intervention Type,DRUG,,C1909,CDISC CT,2023-12-15
MS200095-0022-VISION,aaa,1,,LENGTH,Trial Length,P18M,,,,
MS200095-0022-VISION,INVALID,1,,NARMS,Planned Number of Arms,3,,,,
MS200095-0022-VISION,INVALID,1,,NCOHORT,Number of Groups/Cohorts,3,,,,
MS200095-0022-VISION,aaa,1,,OBJPRIM,Trial Primary Objective,To evaluate the efficacy and safety of the investigational treatment,,,,
MS200095-0022-VISION,aaa,1,,OBJSEC,Trial Secondary Objective,To evaluate pharmacokinetics and immunogenicity,,,,
MS200095-0022-VISION,INVALID,1,,ONGOSIND,Ongoing Study Indicator,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,OUTMSPRI,Primary Outcome Measure,Change from baseline in primary endpoint,,,,
MS200095-0022-VISION,INVALID,1,,PCLAS,Pharmacologic Class,MONOCLONAL ANTIBODY,,,MED-RT,2023-09-01
MS200095-0022-VISION,aaa,1,,PDPSTIND,Pediatric Postmarket Study Indicator,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,aaa,1,,PDSTIND,Pediatric Study Indicator,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,aaa,1,,PIPIND,Pediatric Investigation Plan Indicator,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,aaa,1,,PLANSUB,Planned Number of Subjects,300,,,,
MS200095-0022-VISION,INVALID,1,,RANDOM,Trial is Randomized,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,RDIND,Rare Disease Indicator,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,REGID,Registry Identifier,NCT02864992,,,,
MS200095-0022-VISION,aaa,1,,SDTIGVER,SDTM IG Version,3.4,,,,
MS200095-0022-VISION,INVALID,1,,SDTMVER,SDTM Version,2.0,,,,
MS200095-0022-VISION,INVALID,1,,SENDTC,Study End Date,2025-09-28,,,,
MS200095-0022-VISION,aaa,1,,SEXPOP,Sex of Participants,BOTH,,C49636,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,SPONSOR,Clinical Study Sponsor,Merck KGaA,,,,
MS200095-0022-VISION,INVALID,1,,SSTDTC,Study Start Date,2024-01-15,,,,
MS200095-0022-VISION,INVALID,1,,STOPRULE,Study Stop Rules,Study may be stopped for safety concerns per DMC recommendation,,,,
MS200095-0022-VISION,INVALID,1,,STYPE,Study Type,INTERVENTIONAL,,C98388,CDISC CT,2023-12-15
MS200095-0022-VISION,aaa,1,,TBLIND,Trial Blinding Schema,OPEN LABEL,,C49659,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,TCNTRL,Control Type,UNCONTROLLED,,,,
MS200095-0022-VISION,INVALID,1,,TDIGRP,Diagnosis Group,Oncology,,,SNOMED,2023-09-01
MS200095-0022-VISION,INVALID,1,,THERAREA,Therapeutic Area,Oncology,,,,
MS200095-0022-VISION,INVALID,1,,TINDTP,Trial Intent Type,TREATMENT,,C49656,CDISC CT,2023-12-15
MS200095-0022-VISION,aaa,1,,TITLE,Trial Title,"VISION: A Phase II, Single-Arm, Multicenter, Open-Label Trial to Investigate the Clinical Activity and Safety of Tepotinib in Subjects with Advanced (Locally Advanced or Metastatic) Non-Small Cell Lung Cancer Harboring MET Alterations",,,,
MS200095-0022-VISION,INVALID,1,,TPHASE,Trial Phase Classification,PHASE II TRIAL,,C15601,CDISC CT,2023-12-15
MS200095-0022-VISION,aaa,1,,TRT,Investigational Therapy or Treatment,TEPOTINIB,,,UNII,2023-12-15
MS200095-0022-VISION,TS,1,,TTYPE,Trial Type,EFFICACY,,C49666,CDISC CT,2023-12-15
MS200095-0022-VISION,aaa,1,,ACTSUB,Actual Number of Subjects,300,,,,
MS200095-0022-VISION,TS,1,,ADAPT,Adaptive Design,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,aaa,1,,ADDON,Added on to Existing Treatments,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,AGEMAX,Planned Maximum Age of Subjects,P90Y,,,,
MS200095-0022-VISION,INVALID,1,,AGEMIN,Planned Minimum Age of Subjects,P18Y,,,,
MS200095-0022-VISION,TS,1,,DCUTDESC,Data Cutoff Description,Final database lock,,,,
MS200095-0022-VISION,INVALID,1,,DCUTDTC,Data Cutoff Date,2025-08-29,,,,
MS200095-0022-VISION,TS,1,,EXTTIND,Extension Trial Indicator,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,aaa,1,,FCNTRY,Planned Country of Investigational Sites,USA,,,GENC,Ed3 Up11
MS200095-0022-VISION,aaa,1,,HLTSUBJI,Healthy Subject Indicator,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,INDIC,Trial Disease/Condition Indication,Advanced NSCLC with MET alterations,,,SNOMED,2023-09-01
MS200095-0022-VISION,INVALID,1,,INTMODEL,Intervention Model,SINGLE GROUP,,C82640,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,INTTYPE,Intervention Type,DRUG,,C1909,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,LENGTH,Trial Length,P18M,,,,
MS200095-0022-VISION,INVALID,1,,NARMS,Planned Number of Arms,3,,,,
MS200095-0022-VISION,aaa,1,,NCOHORT,Number of Groups/Cohorts,3,,,,
MS200095-0022-VISION,INVALID,1,,OBJPRIM,Trial Primary Objective,To evaluate the efficacy and safety of the investigational treatment,,,,
MS200095-0022-VISION,INVALID,1,,OBJSEC,Trial Secondary Objective,To evaluate pharmacokinetics and immunogenicity,,,,
MS200095-0022-VISION,TS,1,,ONGOSIND,Ongoing Study Indicator,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,OUTMSPRI,Primary Outcome Measure,Change from baseline in primary endpoint,,,,
MS200095-0022-VISION,INVALID,1,,PCLAS,Pharmacologic Class,MONOCLONAL ANTIBODY,,,MED-RT,2023-09-01
MS200095-0022-VISION,aaa,1,,PDPSTIND,Pediatric Postmarket Study Indicator,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,PDSTIND,Pediatric Study Indicator,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,PIPIND,Pediatric Investigation Plan Indicator,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,PLANSUB,Planned Number of Subjects,300,,,,
MS200095-0022-VISION,INVALID,1,,RANDOM,Trial is Randomized,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,aaa,1,,RDIND,Rare Disease Indicator,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,REGID,Registry Identifier,NCT02864992,,,,
MS200095-0022-VISION,aaa,1,,SDTIGVER,SDTM IG Version,3.4,,,,
MS200095-0022-VISION,INVALID,1,,SDTMVER,SDTM Version,2.0,,,,
MS200095-0022-VISION,INVALID,1,,SENDTC,Study End Date,2025-09-28,,,,
MS200095-0022-VISION,INVALID,1,,SEXPOP,Sex of Participants,BOTH,,C49636,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,SPONSOR,Clinical Study Sponsor,Merck KGaA,,,,
MS200095-0022-VISION,aaa,1,,SSTDTC,Study Start Date,2024-01-15,,,,
MS200095-0022-VISION,INVALID,1,,STOPRULE,Study Stop Rules,Study may be stopped for safety concerns per DMC recommendation,,,,
MS200095-0022-VISION,TS,1,,STYPE,Study Type,INTERVENTIONAL,,C98388,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,TBLIND,Trial Blinding Schema,OPEN LABEL,,C49659,CDISC CT,2023-12-15
MS200095-0022-VISION,INVALID,1,,TCNTRL,Control Type,UNCONTROLLED,,,,
