STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
MS200095-0022-VISION,TS,1,,ADAPT,Adaptive Design,N,ZZZ_INVALID,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,ADDON,Added on to Existing Treatments,N,ZZZ_INVALID,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,AGEMAX,Planned Maximum Age of Subjects,P90Y,ZZZ_INVALID,,,
MS200095-0022-VISION,TS,1,,AGEMIN,Planned Minimum Age of Subjects,P18Y,ZZZ_INVALID,,,
MS200095-0022-VISION,TS,1,,DCUTDESC,Data Cutoff Description,Final database lock,ZZZ_INVALID,,,
MS200095-0022-VISION,TS,1,,DCUTDTC,Data Cutoff Date,2025-08-29,ZZZ_INVALID,,,
MS200095-0022-VISION,TS,1,,FCNTRY,Planned Country of Investigational Sites,USA,ZZZ_INVALID,,GENC,Ed3 Up11
MS200095-0022-VISION,TS,1,,INDIC,Trial Disease/Condition Indication,Advanced NSCLC with MET alterations,ZZZ_INVALID,,SNOMED,2023-09-01
MS200095-0022-VISION,TS,1,,INTMODEL,Intervention Model,SINGLE GROUP,ZZZ_INVALID,C82640,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,INTTYPE,Intervention Type,DRUG,ZZZ_INVALID,C1909,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,LENGTH,Trial Length,P18M,ZZZ_INVALID,,,
MS200095-0022-VISION,TS,1,,NARMS,Planned Number of Arms,3,ZZZ_INVALID,,,
MS200095-0022-VISION,TS,1,,OBJPRIM,Trial Primary Objective,To evaluate the efficacy and safety of the investigational treatment,ZZZ_INVALID,,,
MS200095-0022-VISION,TS,1,,ONGOSIND,Ongoing Study Indicator,N,ZZZ_INVALID,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,OUTMSPRI,Primary Outcome Measure,Change from baseline in primary endpoint,ZZZ_INVALID,,,
MS200095-0022-VISION,TS,1,,PCLAS,Pharmacologic Class,MONOCLONAL ANTIBODY,ZZZ_INVALID,,MED-RT,2023-09-01
MS200095-0022-VISION,TS,1,,PLANSUB,Planned Number of Subjects,300,ZZZ_INVALID,,,
MS200095-0022-VISION,TS,1,,RANDOM,Trial is Randomized,N,ZZZ_INVALID,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,REGID,Registry Identifier,NCT02864992,ZZZ_INVALID,,,
MS200095-0022-VISION,TS,1,,SENDTC,Study End Date,2025-09-28,ZZZ_INVALID,,,
MS200095-0022-VISION,TS,1,,SEXPOP,Sex of Participants,BOTH,ZZZ_INVALID,C49636,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,SPONSOR,Clinical Study Sponsor,Merck KGaA,ZZZ_INVALID,,,
MS200095-0022-VISION,TS,1,,SSTDTC,Study Start Date,2024-01-15,ZZZ_INVALID,,,
MS200095-0022-VISION,TS,1,,STOPRULE,Study Stop Rules,Study may be stopped for safety concerns per DMC recommendation,ZZZ_INVALID,,,
MS200095-0022-VISION,TS,1,,STYPE,Study Type,INTERVENTIONAL,ZZZ_INVALID,C98388,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,TBLIND,Trial Blinding Schema,OPEN LABEL,ZZZ_INVALID,C49659,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,TCNTRL,Control Type,UNCONTROLLED,ZZZ_INVALID,,,
MS200095-0022-VISION,TS,1,,TDIGRP,Diagnosis Group,Oncology,ZZZ_INVALID,,SNOMED,2023-09-01
MS200095-0022-VISION,TS,1,,TINDTP,Trial Intent Type,TREATMENT,ZZZ_INVALID,C49656,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,TITLE,Trial Title,"VISION: A Phase II, Single-Arm, Multicenter, Open-Label Trial to Investigate the Clinical Activity and Safety of Tepotinib in Subjects with Advanced (Locally Advanced or Metastatic) Non-Small Cell Lung Cancer Harboring MET Alterations",ZZZ_INVALID,,,
MS200095-0022-VISION,TS,1,,TPHASE,Trial Phase Classification,PHASE II TRIAL,ZZZ_INVALID,C15601,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,TRT,Investigational Therapy or Treatment,TEPOTINIB,ZZZ_INVALID,,UNII,2023-12-15
MS200095-0022-VISION,TS,1,,TTYPE,Trial Type,EFFICACY,ZZZ_INVALID,C49666,CDISC CT,2023-12-15
