error_id,rule_id,status,domain,USUBJID,row_index,primitive,variables_modified,re_derived,failure_reason
INJ-SD0006-LB-001-row8,SD0006,injected,LB,MS200095-0022-VISION-ITA_SITE01-0011,385,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-001-row9,SD0006,injected,LB,MS200095-0022-VISION-ITA_SITE01-0011,386,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-001-row10,SD0006,injected,LB,MS200095-0022-VISION-ITA_SITE01-0011,387,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-001-row11,SD0006,injected,LB,MS200095-0022-VISION-ITA_SITE01-0011,388,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-001-row12,SD0006,injected,LB,MS200095-0022-VISION-ITA_SITE01-0011,389,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-001-row13,SD0006,injected,LB,MS200095-0022-VISION-ITA_SITE01-0011,390,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-001-row14,SD0006,injected,LB,MS200095-0022-VISION-ITA_SITE01-0011,391,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-002-row8,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE01-0016,462,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-002-row9,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE01-0016,463,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-002-row10,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE01-0016,464,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-002-row11,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE01-0016,465,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-002-row12,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE01-0016,466,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-002-row13,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE01-0016,467,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-002-row14,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE01-0016,468,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-004-row8,SD0006,injected,LB,MS200095-0022-VISION-CHN_SITE01-0015,28,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-004-row9,SD0006,injected,LB,MS200095-0022-VISION-CHN_SITE01-0015,29,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-004-row10,SD0006,injected,LB,MS200095-0022-VISION-CHN_SITE01-0015,30,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-004-row11,SD0006,injected,LB,MS200095-0022-VISION-CHN_SITE01-0015,31,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-004-row12,SD0006,injected,LB,MS200095-0022-VISION-CHN_SITE01-0015,32,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-004-row13,SD0006,injected,LB,MS200095-0022-VISION-CHN_SITE01-0015,33,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-004-row14,SD0006,injected,LB,MS200095-0022-VISION-CHN_SITE01-0015,34,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-005-row3,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE02-0019,758,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-005-row8,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE02-0019,763,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-005-row9,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE02-0019,764,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-005-row11,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE02-0019,766,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-005-row12,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE02-0019,767,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-005-row13,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE02-0019,768,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-005-row14,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE02-0019,769,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-006-row8,SD0006,injected,LB,MS200095-0022-VISION-USA_SITE02-0014,959,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-006-row9,SD0006,injected,LB,MS200095-0022-VISION-USA_SITE02-0014,960,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-006-row10,SD0006,injected,LB,MS200095-0022-VISION-USA_SITE02-0014,961,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-006-row11,SD0006,injected,LB,MS200095-0022-VISION-USA_SITE02-0014,962,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-006-row12,SD0006,injected,LB,MS200095-0022-VISION-USA_SITE02-0014,963,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-006-row13,SD0006,injected,LB,MS200095-0022-VISION-USA_SITE02-0014,964,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-006-row14,SD0006,injected,LB,MS200095-0022-VISION-USA_SITE02-0014,965,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-007-row1,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE02-0012,588,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-007-row5,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE02-0012,592,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-007-row9,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE02-0012,596,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-007-row10,SD0006,injected,LB,MS200095-0022-VISION-JPN_SITE02-0012,597,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
