error_id,rule_id,status,domain,USUBJID,row_index,primitive,variables_modified,re_derived,failure_reason
INJ-SD1103-SE-001,SD1103,injected,SE,,,add_column,"{""SESTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-SV-002,SD1103,injected,SV,,,add_column,"{""SVSTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-CM-003,SD1103,injected,CM,,,add_column,"{""CMSTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-EC-004,SD1103,injected,EC,,,add_column,"{""ECSTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-EX-005,SD1103,injected,EX,,,add_column,"{""EXSTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-SU-006,SD1103,injected,SU,,,add_column,"{""SUSTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-AE-007,SD1103,injected,AE,,,add_column,"{""AESTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-DS-008,SD1103,injected,DS,,,add_column,"{""DSSTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-DV-009,SD1103,injected,DV,,,add_column,"{""DVSTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-HO-010,SD1103,injected,HO,,,add_column,"{""HOSTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-MH-011,SD1103,injected,MH,,,add_column,"{""MHSTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-DA-012,SD1103,injected,DA,,,add_column,"{""DASTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-IE-013,SD1103,injected,IE,,,add_column,"{""IESTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-LB-014,SD1103,injected,LB,,,add_column,"{""LBSTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-PE-015,SD1103,injected,PE,,,add_column,"{""PESTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-SC-016,SD1103,injected,SC,,,add_column,"{""SCSTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-SS-017,SD1103,injected,SS,,,add_column,"{""SSSTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
INJ-SD1103-VS-018,SD1103,injected,VS,,,add_column,"{""VSSTRTPT"": {""original"": ""absent"", ""injected"": ""ONGOING""}}",,
